Name,Class,z
J000719.90+253128.6,EVQ,0.559321
J000750.51+005815.2,CL-AGN,0.345113
J001103.49+010032.6,CL-AGN,0.485892
J001133.95-000001.1,EVQ,0.44707
J001333.96+014506.8,CL-AGN,0.881555
J002956.65+010537.2,EVQ,0.373015
J003242.74+003110.9,EVQ,0.360592
J003841.53+000226.7,CL-AGN,0.649649
J003849.27-011722.4,EVQ,0.500226
J004459.09-010629.3,CL-AGN,0.228215
J004616.68+000249.1,CL-AGN,0.4531
J011536.11+003352.4,CL-AGN,0.364029
J011851.07-010417.3,CL-AGN,0.573171
J011943.50-010858.5,EVQ,0.497391
J012025.45+142727.9,CL-AGN,0.263752
J012150.93+145344.0,EVQ,0.593289
J012256.19-000252.6,CL-AGN,0.340502
J012416.34+004052.2,CL-AGN,0.594002
J012452.64+000958.9,EVQ,0.267199
J012524.66+001935.9,CL-AGN,1.662356
J012716.17-003557.7,EVQ,0.371335
J012839.76+003342.5,CL-AGN,0.434354
J012946.72+150457.3,CL-AGN,0.364851
J012953.16-003104.3,EVQ,0.487809
J013309.79-000107.7,CL-AGN,0.393807
J013944.05-004251.5,CL-AGN,0.471326
J014022.54+002629.7,EVQ,1.857251
J014128.85+003712.2,CL-AGN,0.814749
J014209.02-005050.0,CL-AGN,0.132549
J015105.80-003426.4,EVQ,0.335108
J015108.82+003517.2,CL-AGN,0.875433
J015717.74+004108.4,EVQ,0.389593
J015854.50+001307.3,CL-AGN,0.145004
J015957.64+003310.5,CL-AGN,0.31205
J020428.59-031013.7,EVQ,0.359745
J020649.48-041452.7,CL-AGN,0.138743
J020719.49-033600.7,EVQ,0.560031
J021122.60-021129.8,EVQ,0.210883
J022105.64-044101.5,CL-AGN RM,0.198636
J022907.77+003755.0,EVQ,0.458884
J023029.63+004305.0,EVQ,2.586888
J023112.11-002056.3,EVQ,0.643731
J023128.98+011250.2,EVQ,0.600864
J023427.80+010921.9,CL-AGN,0.739439
J023904.10-004410.8,CL-AGN,0.567837
J023958.89-000901.2,CL-AGN,0.394828
J024508.68+003710.7,CL-AGN,0.29935
J024510.20-000628.1,EVQ,2.132256
J024637.95-004105.4,EVQ,0.85716
J024712.91-011106.2,EVQ,0.486331
J025515.09+003740.5,CL-AGN,1.012572
J073716.39+380202.4,EVQ,0.550421
J073916.52+315814.3,CL-AGN,0.727763
J074147.21+303243.1,EVQ,0.697918
J074314.98+383829.8,EVQ,0.352608
J074511.98+380911.3,EVQ,0.23648
J075225.29+284728.5,CL-AGN,0.772837
J075827.30+342457.5,EVQ,0.562246
J075934.95+322143.3,CL-AGN,0.26888
J080020.23+315414.2,EVQ,1.659855
J080133.29+341737.6,CL-AGN,0.337982
J080709.93+205901.8,EVQ,0.314605
J080711.72+194439.7,CL-AGN,0.347745
J080717.58+251758.7,CL-AGN,0.383252
J080803.27+325145.6,CL-AGN,0.631568
J080832.67+260130.3,EVQ,0.459197
J080838.73+273252.4,CL-AGN,0.47762
J081009.62+211625.8,CL-AGN,0.769466
J081051.52+325251.9,EVQ,0.705579
J081116.71+320935.4,EVQ,0.15368
J081127.88+222045.3,EVQ,0.312202
J081314.19+215550.8,CL-AGN,0.454432
J081338.47+215349.9,CL-AGN,0.548448
J081352.60+243903.6,CL-AGN,0.651118
J081429.24+265241.5,EVQ,0.284569
J081537.56+384303.2,CL-AGN,0.506738
J082018.50+344141.0,CL-AGN,0.497461
J082039.62+391759.1,EVQ,0.87603
J082459.79+315932.5,EVQ,1.475583
J082526.43+274205.8,EVQ,0.340195
J082537.64+320443.7,CL-AGN,0.719988
J083000.36+343238.8,EVQ,0.739263
J083414.18+270101.6,CL-AGN,1.071886
J083537.26+314209.9,EVQ,1.813543
J083542.72+035353.8,EVQ,0.882281
J083716.47+035606.1,CL-AGN,0.063482
J083754.66+040007.2,EVQ,0.563324
J084047.47+370701.1,EVQ,0.525236
J084158.34+035851.7,CL-AGN,0.696807
J084528.72-002723.3,CL-AGN,0.154388
J084637.65+000024.5,CL-AGN,0.257489
J084924.70+002049.7,CL-AGN,0.508254
J085321.89+010216.7,CL-AGN,0.213946
J085337.26+014303.6,CL-AGN,0.058189
J085502.14+520137.7,EVQ,1.884805
J085512.13+032950.6,CL-AGN,0.124046
J090254.12+015429.1,CL-AGN,0.166121
J090315.11+010623.1,CL-AGN,0.121657
J090315.87-000710.1,CL-AGN,0.845034
J090457.90+010423.1,EVQ,0.278855
J090459.92-004206.9,CL-AGN,0.282439
J090535.77-004039.9,CL-AGN,0.793011
J090550.30+003948.1,CL-AGN,0.354041
J090612.02+014412.0,CL-AGN,0.588482
J090624.60+505549.5,CL-AGN,0.478108
J090826.74+002137.4,CL-AGN,0.162574
J090903.50-005928.9,EVQ,2.440956
J091156.22-005140.4,EVQ,0.570337
J091445.19+000648.8,EVQ,0.560135
J091459.16+050243.4,CL-AGN,0.142516
J091649.41+000031.6,CL-AGN,0.222549
J092158.92+034235.7,EVQ,0.323627
J092313.53+043445.0,CL-AGN,0.65682
J092629.23-000605.7,CL-AGN,0.201324
J092702.31+043308.2,EVQ,0.321793
J092739.77+050312.6,CL-AGN,0.126061
J092814.62+005631.0,EVQ,0.405275
J092957.88+001508.7,CL-AGN,0.800271
J093041.65+011842.1,CL-AGN,2.396249
J093149.46+014333.5,EVQ,0.356612
J093209.96+040319.9,CL-AGN,0.275805
J093322.83+010120.9,CL-AGN,0.159933
J093614.70+012105.9,CL-AGN,0.302738
J103723.72+363341.6,CL-AGN,0.519399
J112256.45+435227.7,EVQ,1.582557
J112518.07+272452.8,EVQ,0.564341
J112536.33+303915.9,CL-AGN,0.575978
J112825.59+565646.1,CL-AGN,0.615026
J112951.94+233237.3,EVQ,0.514746
J113025.21+304033.7,CL-AGN,0.842421
J113118.43+581841.8,CL-AGN,0.311977
J113200.64+292603.9,EVQ,0.578446
J113311.19+591357.9,EVQ,2.79157
J113333.82+592152.5,CL-AGN,0.486347
J113457.21+292502.4,CL-AGN,0.392179
J115705.84+560749.5,EVQ,0.653877
J121345.97+484419.4,EVQ,0.494173
J121618.00+515946.1,CL-AGN,0.623324
J122013.56+520206.3,EVQ,0.27803
J122334.95+281544.0,EVQ,2.274074
J132457.29+480241.3,CL-AGN,0.271847
J133244.09+141943.5,EVQ,0.59958
J135157.54+533839.6,EVQ,1.519408
J135415.55+515925.9,CL-AGN,0.319749
J135544.26+531805.2,EVQ,1.572692
J135704.22+553414.8,EVQ,0.491954
J135726.62+553736.0,CL-AGN,2.363621
J135750.26+614309.0,CL-AGN,0.737404
J135925.58+612603.8,EVQ,0.502968
J140037.13+622132.9,CL-AGN,0.075293
J140104.00+633733.2,EVQ,1.698609
J140219.42+554556.4,CL-AGN,0.76352
J140515.59+542458.0,CL-AGN,0.083262
J140836.66+620103.9,EVQ,2.618734
J141144.12+531508.6,CL-AGN RM,0.923187
J141634.37+515849.3,CL-AGN RM,0.989376
J142310.50+045455.1,EVQ,0.607454
J142613.05+321212.3,CL-AGN,0.523328
J142651.49+351924.5,EVQ,1.754633
J142813.06+045247.6,CL-AGN,0.445953
J142835.15+305639.6,CL-AGN,0.673064
J143421.57+044137.2,EVQ,0.906706
J143438.23+034121.9,CL-AGN,0.331644
J143732.94+355947.1,CL-AGN,0.370782
J144024.60+345624.2,CL-AGN,0.752449
J144133.10+051633.5,EVQ,0.782236
J144731.89+342921.1,CL-AGN,0.387996
J153144.80+395542.2,EVQ,0.752683
J155829.36+271714.2,EVQ,0.090296
J160451.30+553223.5,EVQ,0.312626
J160541.37+335021.4,EVQ,0.831624
J160730.23+560305.6,CL-AGN,0.717069
J160738.15+472349.1,CL-AGN,0.516701
J161003.12+543627.9,CL-AGN,0.267623
J161734.42+490211.9,CL-AGN,0.880448
J161832.10+431129.6,EVQ,0.504385
J162829.18+432948.6,CL-AGN,0.260285
J163110.02+384457.4,CL-AGN,0.583915
J163345.19+441150.1,EVQ,0.768656
J164348.61+390939.1,EVQ,0.675179
J164407.45+491912.0,EVQ,0.481326
J165234.96+393733.4,CL-AGN,0.641484
J165252.60+360057.4,EVQ,0.280965
J170643.86+412109.1,EVQ,1.769442
J211834.39+005322.2,CL-AGN,0.451338
J212928.91+000415.9,CL-AGN,0.180379
J213517.46+002020.4,CL-AGN,0.181268
J220946.60-003822.8,CL-AGN,0.088949
J221003.68-005054.7,EVQ,0.388194
J221026.83-001721.1,CL-AGN,0.44867
J221055.80-001702.4,CL-AGN,0.657455
J221301.55-004714.9,EVQ,1.68995
J222210.54+203340.7,CL-AGN,0.568833
J222306.32+194431.6,CL-AGN,0.259936
J222515.86+212758.3,CL-AGN,0.882035
J225350.57+193842.6,EVQ,0.432824
J232710.20+245645.9,EVQ,0.694549
J233650.69+004042.5,CL-AGN,0.161514
J233830.25+002501.8,EVQ,0.463811
J235042.15-010425.0,CL-AGN,0.396912
J235214.78+005103.3,CL-AGN,0.602111
J235439.15+005751.9,EVQ,0.389755
J235720.13-005830.0,CL-AGN,0.339078
J235720.19+004012.8,CL-AGN,0.220698
